environment,battle_style,core_strength,personality,pokemon_name,img_url,type1
Forests & Jungles,Physical & Head-on,Speed & Evasion,Bold & Competitive,Weedle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,bug
Forests & Jungles,Balanced & Versatile,Resilience,Adaptable & Friendly,Kakuna,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,bug
Forests & Jungles,Physical & Head-on,Raw Power,Bold & Competitive,Beedrill,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,bug
Cities & Plains,Physical & Head-on,Speed & Evasion,Bold & Competitive,Pidgey,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,normal
Cities & Plains,Physical & Head-on,Speed & Evasion,Bold & Competitive,Pidgeotto,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,normal
Cities & Plains,Quick & Agile,Speed & Evasion,Energetic & Free-Spirited,Pidgeot,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,normal
Cities & Plains,Physical & Head-on,Speed & Evasion,Bold & Competitive,Rattata,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,normal
Cities & Plains,Quick & Agile,Speed & Evasion,Energetic & Free-Spirited,Raticate,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,normal
Cities & Plains,Physical & Head-on,Speed & Evasion,Bold & Competitive,Spearow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,normal
Cities & Plains,Quick & Agile,Speed & Evasion,Energetic & Free-Spirited,Fearow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,normal
Forests & Jungles,Physical & Head-on,Raw Power,Bold & Competitive,Ekans,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,poison
Forests & Jungles,Physical & Head-on,Raw Power,Bold & Competitive,Arbok,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,poison
Cities & Plains,Physical & Head-on,Speed & Evasion,Bold & Competitive,Pikachu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,electric
Cities & Plains,Quick & Agile,Speed & Evasion,Energetic & Free-Spirited,Raichu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,electric
Mountains & Caves,Physical & Head-on,Resilience,Bold & Competitive,Sandshrew,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,ground
Mountains & Caves,Physical & Head-on,Resilience,Bold & Competitive,Sandslash,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,ground
Forests & Jungles,Physical & Head-on,Resilience,Bold & Competitive,Nidoran-f,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,poison
Forests & Jungles,Physical & Head-on,Resilience,Bold & Competitive,Nidorina,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,poison
Forests & Jungles,Physical & Head-on,Raw Power,Bold & Competitive,Nidoqueen,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,poison
Forests & Jungles,Physical & Head-on,Raw Power,Bold & Competitive,Nidoran-m,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,poison
Forests & Jungles,Physical & Head-on,Raw Power,Bold & Competitive,Nidorino,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,poison
Forests & Jungles,Physical & Head-on,Raw Power,Bold & Competitive,Nidoking,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,poison
Mysterious Places,Strategic & Long-Range,Resilience,Calm & Loyal,Clefairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,fairy
Mysterious Places,Strategic & Long-Range,Resilience,Calm & Loyal,Clefable,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,fairy
Mountains & Caves,Strategic & Long-Range,Resilience,Bold & Competitive,Vulpix,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,fire
Mountains & Caves,Quick & Agile,Resilience,Bold & Competitive,Ninetales,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,fire
Cities & Plains,Balanced & Versatile,Resilience,Calm & Loyal,Jigglypuff,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,normal
Cities & Plains,Strategic & Long-Range,Resilience,Calm & Loyal,Wigglytuff,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,normal
Forests & Jungles,Physical & Head-on,Speed & Evasion,Bold & Competitive,Zubat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,poison
Forests & Jungles,Physical & Head-on,Speed & Evasion,Bold & Competitive,Golbat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,poison
Forests & Jungles,Strategic & Long-Range,Raw Power,Mysterious & Cunning,Oddish,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,grass
Forests & Jungles,Strategic & Long-Range,Raw Power,Mysterious & Cunning,Gloom,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,grass
Forests & Jungles,Strategic & Long-Range,Raw Power,Mysterious & Cunning,Vileplume,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,grass
Forests & Jungles,Physical & Head-on,Raw Power,Bold & Competitive,Paras,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,bug
Forests & Jungles,Physical & Head-on,Raw Power,Bold & Competitive,Parasect,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,bug
Forests & Jungles,Physical & Head-on,Resilience,Bold & Competitive,Venonat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,bug
Forests & Jungles,Strategic & Long-Range,Raw Power,Mysterious & Cunning,Venomoth,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,bug
Mountains & Caves,Physical & Head-on,Speed & Evasion,Bold & Competitive,Diglett,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,ground
Mountains & Caves,Quick & Agile,Speed & Evasion,Energetic & Free-Spirited,Dugtrio,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,ground
Cities & Plains,Physical & Head-on,Speed & Evasion,Bold & Competitive,Meowth,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,normal
Cities & Plains,Quick & Agile,Speed & Evasion,Energetic & Free-Spirited,Persian,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,normal
Oceans & Lakes,Strategic & Long-Range,Raw Power,Mysterious & Cunning,Psyduck,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,water
Oceans & Lakes,Strategic & Long-Range,Raw Power,Mysterious & Cunning,Golduck,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,water
Mountains & Caves,Physical & Head-on,Raw Power,Bold & Competitive,Mankey,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,fighting
Mountains & Caves,Physical & Head-on,Raw Power,Bold & Competitive,Primeape,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,fighting
Mountains & Caves,Balanced & Versatile,Raw Power,Bold & Competitive,Growlithe,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,fire
Mountains & Caves,Physical & Head-on,Raw Power,Bold & Competitive,Arcanine,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,fire
Oceans & Lakes,Physical & Head-on,Speed & Evasion,Bold & Competitive,Poliwag,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,water
Oceans & Lakes,Physical & Head-on,Speed & Evasion,Bold & Competitive,Poliwhirl,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,water
Oceans & Lakes,Physical & Head-on,Raw Power,Bold & Competitive,Poliwrath,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,water
Mysterious Places,Strategic & Long-Range,Raw Power,Mysterious & Cunning,Abra,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,psychic
Mysterious Places,Quick & Agile,Raw Power,Mysterious & Cunning,Kadabra,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,psychic
Mysterious Places,Quick & Agile,Raw Power,Mysterious & Cunning,Alakazam,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,psychic
Mountains & Caves,Physical & Head-on,Raw Power,Bold & Competitive,Machop,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png,fighting
Mountains & Caves,Physical & Head-on,Raw Power,Bold & Competitive,Machoke,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png,fighting
Mountains & Caves,Physical & Head-on,Raw Power,Bold & Competitive,Machamp,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png,fighting
Forests & Jungles,Physical & Head-on,Raw Power,Bold & Competitive,Bellsprout,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png,grass
Forests & Jungles,Physical & Head-on,Raw Power,Bold & Competitive,Weepinbell,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png,grass
Forests & Jungles,Physical & Head-on,Raw Power,Bold & Competitive,Victreebel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png,grass
Oceans & Lakes,Strategic & Long-Range,Resilience,Mysterious & Cunning,Tentacool,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png,water
Oceans & Lakes,Quick & Agile,Resilience,Adaptable & Friendly,Tentacruel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png,water
Mountains & Caves,Physical & Head-on,Resilience,Bold & Competitive,Geodude,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png,rock
Mountains & Caves,Physical & Head-on,Resilience,Bold & Competitive,Graveler,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png,rock
Mountains & Caves,Physical & Head-on,Resilience,Bold & Competitive,Golem,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png,rock
Mountains & Caves,Physical & Head-on,Speed & Evasion,Bold & Competitive,Ponyta,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png,fire
Mountains & Caves,Quick & Agile,Speed & Evasion,Bold & Competitive,Rapidash,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png,fire
Oceans & Lakes,Physical & Head-on,Resilience,Bold & Competitive,Slowpoke,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png,water
Oceans & Lakes,Strategic & Long-Range,Resilience,Mysterious & Cunning,Slowbro,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png,water
Cities & Plains,Strategic & Long-Range,Raw Power,Mysterious & Cunning,Magnemite,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png,electric
Cities & Plains,Strategic & Long-Range,Raw Power,Mysterious & Cunning,Magneton,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png,electric
Cities & Plains,Physical & Head-on,Raw Power,Bold & Competitive,Farfetchd,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png,normal
Cities & Plains,Physical & Head-on,Raw Power,Bold & Competitive,Doduo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png,normal
Cities & Plains,Quick & Agile,Raw Power,Adaptable & Friendly,Dodrio,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png,normal
Oceans & Lakes,Balanced & Versatile,Resilience,Adaptable & Friendly,Seel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png,water
Oceans & Lakes,Balanced & Versatile,Resilience,Adaptable & Friendly,Dewgong,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png,water
Forests & Jungles,Physical & Head-on,Resilience,Bold & Competitive,Grimer,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png,poison
Forests & Jungles,Physical & Head-on,Resilience,Bold & Competitive,Muk,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png,poison
Oceans & Lakes,Physical & Head-on,Resilience,Bold & Competitive,Shellder,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png,water
Oceans & Lakes,Physical & Head-on,Resilience,Bold & Competitive,Cloyster,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png,water
Mysterious Places,Strategic & Long-Range,Raw Power,Mysterious & Cunning,Gastly,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png,ghost
Mysterious Places,Strategic & Long-Range,Raw Power,Mysterious & Cunning,Haunter,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png,ghost
Mysterious Places,Quick & Agile,Raw Power,Mysterious & Cunning,Gengar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png,ghost
Mountains & Caves,Physical & Head-on,Resilience,Bold & Competitive,Onix,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png,rock
Mysterious Places,Physical & Head-on,Resilience,Bold & Competitive,Drowzee,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png,psychic
Mysterious Places,Balanced & Versatile,Resilience,Mysterious & Cunning,Hypno,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png,psychic
Oceans & Lakes,Physical & Head-on,Raw Power,Bold & Competitive,Krabby,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png,water
Oceans & Lakes,Physical & Head-on,Raw Power,Bold & Competitive,Kingler,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png,water
Cities & Plains,Quick & Agile,Speed & Evasion,Energetic & Free-Spirited,Voltorb,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png,electric
Cities & Plains,Quick & Agile,Speed & Evasion,Energetic & Free-Spirited,Electrode,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png,electric
Forests & Jungles,Strategic & Long-Range,Resilience,Calm & Loyal,Exeggcute,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png,grass
Forests & Jungles,Strategic & Long-Range,Raw Power,Mysterious & Cunning,Exeggutor,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png,grass
Mountains & Caves,Physical & Head-on,Resilience,Bold & Competitive,Cubone,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png,ground
Mountains & Caves,Physical & Head-on,Resilience,Bold & Competitive,Marowak,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png,ground
Mountains & Caves,Physical & Head-on,Raw Power,Bold & Competitive,Hitmonlee,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png,fighting
Mountains & Caves,Physical & Head-on,Resilience,Bold & Competitive,Hitmonchan,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png,fighting
Cities & Plains,Strategic & Long-Range,Resilience,Calm & Loyal,Lickitung,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png,normal
Forests & Jungles,Physical & Head-on,Resilience,Bold & Competitive,Koffing,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png,poison
Forests & Jungles,Physical & Head-on,Resilience,Bold & Competitive,Weezing,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png,poison
Mountains & Caves,Physical & Head-on,Resilience,Bold & Competitive,Rhyhorn,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png,ground
Mountains & Caves,Physical & Head-on,Raw Power,Bold & Competitive,Rhydon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png,ground
Cities & Plains,Strategic & Long-Range,Resilience,Calm & Loyal,Chansey,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png,normal
Forests & Jungles,Strategic & Long-Range,Resilience,Calm & Loyal,Tangela,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png,grass
Cities & Plains,Physical & Head-on,Resilience,Bold & Competitive,Kangaskhan,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png,normal
Oceans & Lakes,Strategic & Long-Range,Resilience,Mysterious & Cunning,Horsea,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png,water
Oceans & Lakes,Strategic & Long-Range,Resilience,Mysterious & Cunning,Seadra,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png,water
Oceans & Lakes,Physical & Head-on,Raw Power,Bold & Competitive,Goldeen,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png,water
Oceans & Lakes,Physical & Head-on,Raw Power,Bold & Competitive,Seaking,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png,water
Oceans & Lakes,Strategic & Long-Range,Speed & Evasion,Mysterious & Cunning,Staryu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png,water
Oceans & Lakes,Quick & Agile,Speed & Evasion,Energetic & Free-Spirited,Starmie,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png,water
Mysterious Places,Strategic & Long-Range,Resilience,Mysterious & Cunning,Mr-mime,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png,psychic
Forests & Jungles,Quick & Agile,Raw Power,Adaptable & Friendly,Scyther,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png,bug
Oceans & Lakes,Strategic & Long-Range,Raw Power,Mysterious & Cunning,Jynx,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png,ice
Cities & Plains,Quick & Agile,Speed & Evasion,Energetic & Free-Spirited,Electabuzz,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png,electric
Mountains & Caves,Strategic & Long-Range,Raw Power,Bold & Competitive,Magmar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png,fire
Forests & Jungles,Physical & Head-on,Raw Power,Bold & Competitive,Pinsir,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png,bug
Cities & Plains,Quick & Agile,Speed & Evasion,Energetic & Free-Spirited,Tauros,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png,normal
Oceans & Lakes,Strategic & Long-Range,Speed & Evasion,Mysterious & Cunning,Magikarp,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png,water
Oceans & Lakes,Physical & Head-on,Raw Power,Bold & Competitive,Gyarados,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png,water
Oceans & Lakes,Balanced & Versatile,Resilience,Adaptable & Friendly,Lapras,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.png,water
Cities & Plains,Balanced & Versatile,Resilience,Calm & Loyal,Ditto,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png,normal
Cities & Plains,Physical & Head-on,Resilience,Bold & Competitive,Eevee,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png,normal
Oceans & Lakes,Strategic & Long-Range,Resilience,Mysterious & Cunning,Vaporeon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png,water
Cities & Plains,Quick & Agile,Speed & Evasion,Energetic & Free-Spirited,Jolteon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png,electric
Mountains & Caves,Physical & Head-on,Raw Power,Bold & Competitive,Flareon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png,fire
Cities & Plains,Strategic & Long-Range,Raw Power,Mysterious & Cunning,Porygon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png,normal
Mountains & Caves,Strategic & Long-Range,Resilience,Mysterious & Cunning,Omanyte,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png,rock
Mountains & Caves,Strategic & Long-Range,Resilience,Mysterious & Cunning,Omastar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png,rock
Mountains & Caves,Physical & Head-on,Resilience,Bold & Competitive,Kabuto,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png,rock
Mountains & Caves,Physical & Head-on,Raw Power,Bold & Competitive,Kabutops,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png,rock
Mountains & Caves,Quick & Agile,Speed & Evasion,Energetic & Free-Spirited,Aerodactyl,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png,rock
Cities & Plains,Physical & Head-on,Resilience,Bold & Competitive,Snorlax,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png,normal
Oceans & Lakes,Strategic & Long-Range,Resilience,Mysterious & Cunning,Articuno,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png,ice
Cities & Plains,Quick & Agile,Raw Power,Energetic & Free-Spirited,Zapdos,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png,electric
Mountains & Caves,Strategic & Long-Range,Raw Power,Bold & Competitive,Moltres,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png,fire
Mysterious Places,Physical & Head-on,Raw Power,Bold & Competitive,Dratini,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png,dragon
Mysterious Places,Physical & Head-on,Raw Power,Bold & Competitive,Dragonair,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/148.png,dragon
Mysterious Places,Physical & Head-on,Raw Power,Bold & Competitive,Dragonite,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/149.png,dragon
Mysterious Places,Quick & Agile,Raw Power,Mysterious & Cunning,Mewtwo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png,psychic
Mysterious Places,Quick & Agile,Resilience,Mysterious & Cunning,Mew,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/151.png,psychic
Forests & Jungles,Balanced & Versatile,Resilience,Calm & Loyal,Chikorita,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/152.png,grass
Forests & Jungles,Strategic & Long-Range,Resilience,Calm & Loyal,Bayleef,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/153.png,grass
Forests & Jungles,Strategic & Long-Range,Resilience,Calm & Loyal,Meganium,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/154.png,grass
Mountains & Caves,Strategic & Long-Range,Speed & Evasion,Bold & Competitive,Cyndaquil,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/155.png,fire
Mountains & Caves,Strategic & Long-Range,Raw Power,Bold & Competitive,Quilava,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/156.png,fire
Mountains & Caves,Quick & Agile,Raw Power,Bold & Competitive,Typhlosion,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/157.png,fire
Oceans & Lakes,Physical & Head-on,Raw Power,Bold & Competitive,Totodile,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/158.png,water
Oceans & Lakes,Physical & Head-on,Raw Power,Bold & Competitive,Croconaw,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/159.png,water
Oceans & Lakes,Physical & Head-on,Raw Power,Bold & Competitive,Feraligatr,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/160.png,water
Cities & Plains,Physical & Head-on,Raw Power,Bold & Competitive,Sentret,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/161.png,normal
Cities & Plains,Physical & Head-on,Speed & Evasion,Bold & Competitive,Furret,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/162.png,normal
Cities & Plains,Strategic & Long-Range,Resilience,Calm & Loyal,Hoothoot,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/163.png,normal
Cities & Plains,Strategic & Long-Range,Resilience,Calm & Loyal,Noctowl,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/164.png,normal
Forests & Jungles,Strategic & Long-Range,Resilience,Mysterious & Cunning,Ledyba,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/165.png,bug
Forests & Jungles,Strategic & Long-Range,Resilience,Mysterious & Cunning,Ledian,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/166.png,bug
Forests & Jungles,Physical & Head-on,Raw Power,Bold & Competitive,Spinarak,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/167.png,bug
