environment,battle_style,core_strength,personality,social_style,pokemon_name,img_url,shiny_img_url,type1,pokedex_entry,hp,attack,defense,is_legendary,is_mythical
Verdant Forests,Versatile All-Rounder,Resilience,Gentle & Protective,Flexible,Metapod,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/11.png,bug,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.",50,20,55,False,False
Verdant Forests,Versatile All-Rounder,Raw Power,Adaptable & Friendly,Flexible,Butterfree,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/12.png,bug,"In battle, it flaps its wings at high speed to release highly toxic dust into the air.",60,45,50,False,False
Verdant Forests,Methodical Warrior,Speed & Evasion,Playful & Energetic,Flexible,Weedle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/13.png,bug,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head.",40,35,30,False,False
Verdant Forests,Versatile All-Rounder,Resilience,Gentle & Protective,Flexible,Kakuna,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/14.png,bug,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.",45,25,50,False,False
Verdant Forests,Methodical Warrior,Raw Power,Adaptable & Friendly,Flexible,Beedrill,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/15.png,bug,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,65,90,40,False,False
Bustling Cities,Methodical Warrior,Speed & Evasion,Playful & Energetic,Team Player,Pidgey,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/16.png,normal,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,40,45,40,False,False
Bustling Cities,Methodical Warrior,Speed & Evasion,Playful & Energetic,Team Player,Pidgeotto,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/17.png,normal,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder.",63,60,55,False,False
Bustling Cities,Methodical Warrior,Speed & Evasion,Playful & Energetic,Team Player,Pidgeot,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/18.png,normal,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.",83,80,75,False,False
Bustling Cities,Methodical Warrior,Speed & Evasion,Playful & Energetic,Team Player,Rattata,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/19.png,normal,"Bites anything when it attacks. Small and very quick, it is a common sight in many places.",30,56,35,False,False
Bustling Cities,Methodical Warrior,Speed & Evasion,Playful & Energetic,Team Player,Raticate,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/20.png,normal,It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off.,55,81,60,False,False
Bustling Cities,Methodical Warrior,Speed & Evasion,Playful & Energetic,Team Player,Spearow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/21.png,normal,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.",40,60,30,False,False
Bustling Cities,Methodical Warrior,Speed & Evasion,Playful & Energetic,Team Player,Fearow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/22.png,normal,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest.",65,90,65,False,False
Anywhere,Methodical Warrior,Raw Power,Adaptable & Friendly,Lone Wolf,Ekans,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/23.png,poison,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole.",35,60,44,False,False
Anywhere,Methodical Warrior,Raw Power,Adaptable & Friendly,Lone Wolf,Arbok,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/24.png,poison,It is rumored that the ferocious warning markings on its belly differ from area to area.,60,95,69,False,False
Bustling Cities,Methodical Warrior,Speed & Evasion,Playful & Energetic,Flexible,Pikachu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/25.png,electric,"When several of these POKéMON gather, their electricity could build and cause lightning storms.",35,55,40,False,False
Bustling Cities,Versatile All-Rounder,Speed & Evasion,Playful & Energetic,Flexible,Raichu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/26.png,electric,Its long tail serves as a ground to protect itself from its own high-voltage power.,60,90,55,False,False
Volcanic Mountains,Methodical Warrior,Resilience,Gentle & Protective,Flexible,Sandshrew,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/27.png,ground,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.,50,75,85,False,False
Volcanic Mountains,Methodical Warrior,Resilience,Gentle & Protective,Flexible,Sandslash,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/28.png,ground,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.,75,100,110,False,False
Anywhere,Methodical Warrior,Resilience,Gentle & Protective,Lone Wolf,Nidoran-f,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/29.png,poison,"Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns.",55,47,52,False,False
Anywhere,Methodical Warrior,Resilience,Gentle & Protective,Lone Wolf,Nidorina,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/30.png,poison,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.,70,62,67,False,False
Anywhere,Methodical Warrior,Raw Power,Adaptable & Friendly,Lone Wolf,Nidoqueen,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/31.png,poison,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.,90,92,87,False,False
Anywhere,Methodical Warrior,Raw Power,Adaptable & Friendly,Lone Wolf,Nidoran-m,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/32.png,poison,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom.",46,57,40,False,False
Anywhere,Methodical Warrior,Raw Power,Adaptable & Friendly,Lone Wolf,Nidorino,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/33.png,poison,An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.,61,72,57,False,False
Anywhere,Methodical Warrior,Raw Power,Adaptable & Friendly,Lone Wolf,Nidoking,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/34.png,poison,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones.",81,102,77,False,False
Mythical Skies,Versatile All-Rounder,Resilience,Gentle & Protective,Flexible,Clefairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/35.png,fairy,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.,70,45,48,False,False
Mythical Skies,Versatile All-Rounder,Resilience,Gentle & Protective,Flexible,Clefable,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/36.png,fairy,A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.,95,70,73,False,False
Volcanic Mountains,Versatile All-Rounder,Resilience,Passionate & Fierce,Flexible,Vulpix,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/37.png,fire,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older.",38,41,40,False,False
Volcanic Mountains,Versatile All-Rounder,Resilience,Passionate & Fierce,Flexible,Ninetales,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/38.png,fire,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.,73,76,75,False,False
Bustling Cities,Versatile All-Rounder,Resilience,Gentle & Protective,Team Player,Jigglypuff,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/39.png,normal,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep.",115,45,20,False,False
Bustling Cities,Versatile All-Rounder,Resilience,Gentle & Protective,Team Player,Wigglytuff,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/40.png,normal,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size.",140,70,45,False,False
Anywhere,Methodical Warrior,Speed & Evasion,Playful & Energetic,Lone Wolf,Zubat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/41.png,poison,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.,40,45,35,False,False
Anywhere,Methodical Warrior,Speed & Evasion,Playful & Energetic,Lone Wolf,Golbat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/42.png,poison,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly.",75,80,70,False,False
Verdant Forests,Versatile All-Rounder,Raw Power,Gentle & Protective,Flexible,Oddish,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/43.png,grass,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds.",45,50,55,False,False
Verdant Forests,Versatile All-Rounder,Raw Power,Gentle & Protective,Flexible,Gloom,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/44.png,grass,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.,60,65,70,False,False
Verdant Forests,Versatile All-Rounder,Raw Power,Gentle & Protective,Flexible,Vileplume,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/45.png,grass,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen.",75,80,85,False,False
Verdant Forests,Methodical Warrior,Raw Power,Adaptable & Friendly,Flexible,Paras,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/46.png,bug,Burrows to suck tree roots. The mushrooms on its back grow by draw­ ing nutrients from the bug host.,35,70,55,False,False
Verdant Forests,Methodical Warrior,Raw Power,Adaptable & Friendly,Flexible,Parasect,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/47.png,bug,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.,60,95,80,False,False
Verdant Forests,Methodical Warrior,Resilience,Gentle & Protective,Flexible,Venonat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/48.png,bug,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.,60,55,50,False,False
Verdant Forests,Versatile All-Rounder,Raw Power,Adaptable & Friendly,Flexible,Venomoth,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/49.png,bug,The dustlike scales covering its wings are color-coded to indicate the kinds of poison it has.,70,65,60,False,False
Volcanic Mountains,Methodical Warrior,Speed & Evasion,Playful & Energetic,Flexible,Diglett,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/50.png,ground,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.,10,55,25,False,False
Volcanic Mountains,Swift Scout,Speed & Evasion,Playful & Energetic,Flexible,Dugtrio,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/51.png,ground,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.,35,100,50,False,False
Bustling Cities,Methodical Warrior,Speed & Evasion,Playful & Energetic,Team Player,Meowth,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/52.png,normal,It washes its face regularly to keep the coin on its forehead spotless. It doesn’t get along with Galarian Meowth.,40,45,35,False,False
Bustling Cities,Swift Scout,Speed & Evasion,Playful & Energetic,Team Player,Persian,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/53.png,normal,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness.",65,70,60,False,False
Serene Waters,Versatile All-Rounder,Raw Power,Adaptable & Friendly,Flexible,Psyduck,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/54.png,water,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers.",50,52,48,False,False
Serene Waters,Versatile All-Rounder,Raw Power,Adaptable & Friendly,Flexible,Golduck,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/55.png,water,"Often seen swim­ ming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa.",80,82,78,False,False
Training Dojos,Methodical Warrior,Raw Power,Passionate & Fierce,Lone Wolf,Mankey,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/56.png,fighting,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.,40,80,35,False,False
Training Dojos,Aggressive Brawler,Raw Power,Passionate & Fierce,Lone Wolf,Primeape,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/57.png,fighting,Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.,65,105,60,False,False
Volcanic Mountains,Versatile All-Rounder,Raw Power,Passionate & Fierce,Flexible,Growlithe,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/58.png,fire,Very protective of its territory. It will bark and bite to repel intruders from its space.,55,70,45,False,False
Volcanic Mountains,Aggressive Brawler,Raw Power,Passionate & Fierce,Flexible,Arcanine,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/59.png,fire,A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings.,90,110,80,False,False
Serene Waters,Methodical Warrior,Speed & Evasion,Playful & Energetic,Flexible,Poliwag,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/60.png,water,Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.,40,50,40,False,False
Serene Waters,Methodical Warrior,Speed & Evasion,Playful & Energetic,Flexible,Poliwhirl,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/61.png,water,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy.",65,65,65,False,False
Serene Waters,Methodical Warrior,Raw Power,Adaptable & Friendly,Flexible,Poliwrath,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/62.png,water,An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.,90,95,95,False,False
Ancient Ruins,Versatile All-Rounder,Raw Power,Intelligent & Mysterious,Flexible,Abra,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/63.png,psychic,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety.",25,20,15,False,False
Ancient Ruins,Glass Cannon Mage,Raw Power,Intelligent & Mysterious,Flexible,Kadabra,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/64.png,psychic,It emits special alpha waves from its body that induce headaches just by being close by.,40,35,30,False,False
Ancient Ruins,Glass Cannon Mage,Raw Power,Intelligent & Mysterious,Flexible,Alakazam,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/65.png,psychic,"Its brain can out­ perform a super­ computer. Its intelligence quotient is said to be 5,000.",55,50,45,False,False
Training Dojos,Methodical Warrior,Raw Power,Passionate & Fierce,Lone Wolf,Machop,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/66.png,fighting,Loves to build its muscles. It trains in all styles of martial arts to become even stronger.,70,80,50,False,False
Training Dojos,Methodical Warrior,Raw Power,Passionate & Fierce,Lone Wolf,Machoke,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/67.png,fighting,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions.",80,100,70,False,False
Training Dojos,Methodical Warrior,Raw Power,Passionate & Fierce,Lone Wolf,Machamp,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/68.png,fighting,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon.",90,130,80,False,False
Verdant Forests,Methodical Warrior,Raw Power,Gentle & Protective,Flexible,Bellsprout,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/69.png,grass,A carnivorous POKéMON that traps and eats bugs. It uses its root feet to soak up needed moisture.,50,75,35,False,False
Verdant Forests,Methodical Warrior,Raw Power,Gentle & Protective,Flexible,Weepinbell,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/70.png,grass,It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.,65,90,50,False,False
Verdant Forests,Methodical Warrior,Raw Power,Gentle & Protective,Flexible,Victreebel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/71.png,grass,"Said to live in huge colonies deep in jungles, although no one has ever returned from there.",80,105,65,False,False
Serene Waters,Versatile All-Rounder,Resilience,Gentle & Protective,Flexible,Tentacool,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/72.png,water,Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.,40,40,35,False,False
Serene Waters,Versatile All-Rounder,Resilience,Gentle & Protective,Flexible,Tentacruel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/73.png,water,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey.",80,70,65,False,False
Volcanic Mountains,Methodical Warrior,Resilience,Gentle & Protective,Flexible,Geodude,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/74.png,rock,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them.",40,80,100,False,False
Volcanic Mountains,Methodical Warrior,Resilience,Gentle & Protective,Flexible,Graveler,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/75.png,rock,Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.,55,95,115,False,False
Volcanic Mountains,Methodical Warrior,Resilience,Gentle & Protective,Flexible,Golem,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/76.png,rock,Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.,80,120,130,False,False
Volcanic Mountains,Methodical Warrior,Speed & Evasion,Passionate & Fierce,Flexible,Ponyta,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/77.png,fire,Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.,50,85,55,False,False
Volcanic Mountains,Methodical Warrior,Speed & Evasion,Passionate & Fierce,Flexible,Rapidash,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/78.png,fire,"Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it.",65,100,70,False,False
